"gwno","event_id_cnty","event_id_no_cnty","date","year","time_precision","event_tax","actor_tax","ally_actor_1","inter1","actor2","ally_actor_2","inter2","interaction","country","admin1","admin2","admin3","location","latitude","longitude","prec_tax","source","notes","fatalities","month","day","spec_id"
475,"3055NIG",48943,2011-05-21,2011,1,"Battle-No change of territory","Unidentified Armed Group (Nigeria)","",3,"Unidentified Armed Group (Nigeria)","",3,33,"Nigeria","Rivers","Port Harcourt","","Port Harcourt",4.78917,6.99861,2,"Reuters","Rival political supporters fired shots and set cars ablaze in Nigeria's main oil city on Saturday after a candidate standing in local government elections was kidnapped. ",0,5,21,"A-185"
475,"3056NIG",48944,2011-05-23,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Two gunmen suspected to be members of Boko Haram Islamist sect have shot dead a policeman in the northeastern Nigerian city of Maiduguri. The attack took place near the former headquarters of the sect, destroyed two years ago by security forces. ",1,5,23,"A-186"
475,"3057NIG",48945,2011-05-24,2011,1,"Battle-No change of territory","Military Forces of Nigeria (2007-2010)","",1,"Police Forces of Nigeria (2010-)","",1,11,"Nigeria","Lagos","LagosIsland","","Lagos",6.45306,3.39583,1,"BBC Monitoring Africa","On Tuesday, the Divisional Police Officer (DPO), CSP Samuel Salihu, the Divisional Crime Officer (DCO) DCP Samson Okelusi and three other officers were reportedly murdered by soldiers from 242 Battalion, Ibereko, Badagry. The Lagos Police PRO [Public Relation Officer], Mr Samuel Jinadu, said policemen had consequently abandoned checkpoints as a precaution because soldiers had taken over expressway and the police did not want to record any further casualties.",4,5,24,"A-187"
475,"3059NIG",48947,2011-05-26,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2010-)","Prison Guards (Nigeria)",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Gunmen in Maiduguri, northestern Nigeria, suspected of being members of Boko Haram Islamic sect, shot dead a prison guard. ",1,5,26,"A-188"
475,"3058NIG",48946,2011-05-26,2011,1,"Battle-No change of territory","Boko Haram","",3,"Military Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Sodliers were involved in a gun battle with suspected Islamists. Soldiers engaged a group of suspected Islamists in a shootout that lasted for about 10 minutes, but there were no reported casualties",1,5,26,"A-189"
475,"3060NIG",48948,2011-05-27,2011,1,"Remote violence","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Damboa","","Damboa",11.15722,12.75444,1,"Agence France Presse","Boko Haram members used explosives in an attack on a police barracks in Damboa, about 100km south of Maiduguri. At least five officers an eight civilians killed. ",13,5,27,"A-190"
475,"3062NIG",48950,2011-05-29,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Federal Capital Territory","Abuja Municipality","","Zuba",9.0964,7.2128,1,"Agence France Presse","An explosion hit a beer parlour, according to a spokesman for the National Emergency Management Agency (NEMA). NEMA officials report that there was no serious casualty at the beer parlour where it occurred as the three victims took themselves to hospital.",0,5,29,"A-191"
475,"3061NIG",48949,2011-05-29,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Military Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,1,"Agence France Presse","Three bomb blasts hit the ""mammy market"" - which include beer gardens and eateries commonly found at Nigerian military bases - in the northern city of Bauchi. 12 people were killed, a further 20 were wounded, and there was no indication of who was behind the blasts.",12,5,29,"A-192"
475,"3064NIG",48952,2011-05-30,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected members of Nigerian Islamist sect, Boko Haram, have killed the brother of an influential west African spiritual leader based in the country's northeast. Abba-Anas Umar Garbai was shot by gunmen outside his home in the city of Maiduguri. Garbai is the younger brother of the Shehu of Borno, the most prominent traditional and Islamic spiritual leader in northeastern Nigeria, whose influence extends across the border into parts of neighbouring Cameroon, Chad and Niger Republic.",1,5,30,"A-193"
475,"3063NIG",48951,2011-05-30,2011,1,"Remote violence","Boko Haram","",3,"Military Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","A bomb targeting a military patrol exploded in northeastern Nigeria on Monday, causing damage to a vehicle but no injuries. Three arrests were made in connection to the attack. Police suspected Boko Haram. ",0,5,30,"A-194"
475,"3065NIG",48953,2011-05-31,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Bauchi","Bauchi","","Bulkacuwa",10.31583,9.84417,2,"Agence France Presse","Gunmen hurled a bomb and fired shots at a Nigerian police station, heightening tensions in northern Bauchi state. He said the police station, situated some 180 kilometres (110 miles) north of Bauchi city, was seriously damaged. One policeman is still missing, feared dead. ",1,5,31,"A-195"
475,"3066NIG",48954,2011-06-01,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected extremists hurled bombs at a child vaccine warehouse in the restive city of Maiduguri in northeastern Nigeria. Three cars in the parking lot were also burnt in the attack.No casualties were recorded in the attack that took place overnight. ",0,6,1,"A-196"
475,"3067NIG",48955,2011-06-02,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected Boko Haram sect members threw bombs at a government office in Maiduguri. The explosive did not penetrate the premises. No report of casualties. ",0,6,2,"A-197"
475,"3068NIG",48956,2011-06-06,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,37,"Nigeria","Borno","Biu","","Biu",10.61285,12.19458,1,"Agence France Presse","A gunman suspected of belonging to the Boko Haram Islamist sect has killed a Wahabi Muslim cleric in northeastern Nigeria where the sect has been blamed for series of killings. Ibrahim Birkuti was shot by a motorcycle-riding gunman thought to be a member of Boko Haram sect outside his house in the town of Biu. ",1,6,6,"A-198"
475,"3070NIG",48958,2011-06-07,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","Christian Group (Nigeria)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected Boko Haram extremists set off an explosion at a Catholic church in Maiduguri. Two passers-by were killed and a third injured. ",2,6,7,"A-199"
475,"3069NIG",48957,2011-06-07,2011,1,"Remote violence","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected Boko Haram extremists set off two explosions at Dandal police station in Maiduguri. ",0,6,7,"A-200"
475,"3071NIG",48959,2011-06-07,2011,1,"Remote violence","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected Boko Haram extremists set off four explosions at Gwange police station in Maiduguri. Police engaged the attackers in a firefight, killing three. ",3,6,7,"A-201"
475,"3072NIG",48960,2011-06-08,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,1,"Agence France Presse","A neighbourhood leader who also works as a prison warden, Ibrahim Ali Figidi, was gunned down outside his house by two men who fled on a motorcycle in the typical hit-and-run style of the Boko Haram sect.",1,6,8,"A-202"
475,"3073NIG",48961,2011-06-12,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Police Forces of Nigeria (2007-2010)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Four people were killed in an attack by gunmen suspected to be members of Boko Haram sect on a beer parlour in the Bulunkutu surburb of the city. The gunmen opened fire on people drinking in the beer parlour, killing four before engaging in a shootout with police who were attracted to the scene by gunshots. ",4,6,12,"A-203"
475,"3075NIG",48963,2011-06-16,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","Christian Group (Nigeria)",7,37,"Nigeria","Borno","Damboa","","Damboa",11.15722,12.75444,1,"Agence France Presse","An explosive planted in a church kills four children and two adults. The bombing come hours after a police station bombing. ",6,6,16,"A-204"
475,"3077NIG",48965,2011-06-16,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2010-)","",1,13,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"Agence France Presse","A suicide car bomber detonates at a police headquarters. Five dead, plus the bomber. Boko Haram later takes responsibility. ",6,6,16,"A-205"
475,"3074NIG",48962,2011-06-16,2011,1,"Remote violence","Muslim Militia (Nigeria)","",4,"Civilians (Nigeria)","Christian Group (Nigeria)",7,47,"Nigeria","Borno","Damboa","","Damboa",11.15722,12.75444,1,"Agence France Presse","A bomb went off in a house adjoining Eyn church in the town of Damboa, 90km south of Maiduguri, killing four children playing nearby. ",4,6,16,"A-206"
475,"3076NIG",48964,2011-06-16,2011,1,"Battle-No change of territory","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"Agence France Presse","A powerful bomb blew up inside the Nigerian police headquarters in the capital, killing the suspected suicide bomber and at least one policeman. Several bystanders were also wounded. There was no immediate claim of responsibility for the blast.",2,6,16,"A-207"
475,"3078NIG",48966,2011-06-20,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Katsina","Kankara","","Kankara",11.93016,7.41267,1,"Agence France Presse","Suspected Boko Haram gunmen simultaneously open fire on a police station and a bank, killing a total of seven, including civilians. ",7,6,20,"A-208"
475,"3079NIG",48967,2011-06-25,2011,3,"Non-violent activity by a conflict actor","Boko Haram","Unidentified Armed Group (Nigeria)",3,"","",0,30,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,2,"Xinhua News Agency","Police arrest up to 100 terror suspects over the course of a month in several northern states.",0,6,25,"A-209"
475,"3080NIG",48968,2011-06-25,2011,3,"Non-violent activity by a conflict actor","Boko Haram","Unidentified Armed Group (Nigeria)",3,"","",0,30,"Nigeria","Borno","Konduga","","Borno",11.5,13,2,"Xinhua News Agency","Police arrest up to 100 terror suspects over the course of a month in several northern states.",0,6,25,"A-210"
475,"3081NIG",48969,2011-06-25,2011,3,"Non-violent activity by a conflict actor","Boko Haram","Unidentified Armed Group (Nigeria)",3,"","",0,30,"Nigeria","Kaduna","Kaduna South","","Kaduna",10.52224,7.43828,1,"Xinhua News Agency","Police arrest up to 100 terror suspects over the course of a month in several northern states.",0,6,25,"A-211"
475,"3082NIG",48970,2011-06-25,2011,3,"Non-violent activity by a conflict actor","Boko Haram","Unidentified Armed Group (Nigeria)",3,"","",0,30,"Nigeria","Kano","Rano","","Kano State",11.5,8.5,2,"Xinhua News Agency","Police arrest up to 100 terror suspects over the course of a month in several northern states.",0,6,25,"A-212"
475,"3083NIG",48971,2011-06-25,2011,3,"Non-violent activity by a conflict actor","Boko Haram","Unidentified Armed Group (Nigeria)",3,"","",0,30,"Nigeria","Yobe","Fune","","Yobe State",12,11.5,2,"Xinhua News Agency","Police arrest up to 100 terror suspects over the course of a month in several northern states.",0,6,25,"A-213"
475,"3084NIG",48972,2011-06-26,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","Government of Nigeria (2010-)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Two girls were killed and three customs officers seriously wounded at a government office in a second blast in Maiduguri.",2,6,26,"A-214"
475,"3085NIG",48973,2011-06-26,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected Boko Haram militants threw a bomb into a beer garden, killing at least 25. ",25,6,26,"A-215"
475,"3086NIG",48974,2011-07-02,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","Police Forces of Nigeria (2010-)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","A bomb explodes at a bar frequented heavily by off duty police forces. Most believe Boko Haram is responsible, however, they have not claimed responsibility. Ten patrons dead. ",10,7,2,"A-216"
475,"3087NIG",48975,2011-07-02,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Police Forces of Nigeria (2010-)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Members of Boko Haram go door-to-door in several neighborhoods, shooting residents, including three police. Many believe the homes of police officers were targets of the attacks. ",3,7,2,"A-217"
475,"3088NIG",48976,2011-07-05,2011,1,"Battle-No change of territory","Boko Haram","",3,"Military Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"All Africa","Boko Haram kills four security forces and three civilians when they storm a residence and flee on motorcycles. ",4,7,5,"A-218"
475,"3089NIG",48977,2011-07-06,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Military Forces of Nigeria (2010-)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Three soldiers is injured when members of terror groups bomb a military checkpoint. ",0,7,6,"A-219"
475,"3090NIG",48978,2011-07-07,2011,1,"Non-violent activity by a conflict actor","Police Forces of Nigeria (2010-)","",1,"","",0,10,"Nigeria","Taraba","Bali","","Taraba State",8,10.5,2,"BBC Monitoring Africa","Police arrest 15 Boko Haram suspects. ",0,7,7,"A-220"
475,"3091NIG",48979,2011-07-09,2011,1,"Battle-No change of territory","Boko Haram","",3,"Military Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Military forces claim the lives of 11 Boko Haram suspects during a shootout, as well as inadvertently killing 14 civilians during the shootout.",11,7,9,"A-221"
475,"3092NIG",48980,2011-07-09,2011,1,"Violence against civilians","Military Forces of Nigeria (2007-2010)","",1,"Civilians (Nigeria)","",7,17,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"The Press Trust of India Limited","Military forces claim the lives of 11 Boko Haram suspects during a shootout, as well as inadvertently killing 14 civilians during the shootout.",14,7,9,"A-222"
475,"3093NIG",48981,2011-07-10,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"Philippines News Agency","Three civilians are feared dead after an explosion near a church. Many homes were also destroyed. ",3,7,10,"A-223"
475,"3094NIG",48982,2011-07-12,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"All Africa","Boko Haram kills 50 in different parts of the city throughout the day. ",50,7,12,"A-224"
475,"3095NIG",48983,2011-07-13,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,2,"Africa Research Bulletin","Boko Haram attacks a bank in Borno State. No report of injury or death. ",0,7,13,"A-225"
475,"3096NIG",48984,2011-07-13,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Konduga","","Borno",11.5,13,2,"Africa Research Bulletin","Boko Haram attacks a bank in Borno State. No report of injury or death. ",0,7,13,"A-226"
475,"3097NIG",48985,2011-07-14,2011,1,"Protests","Protesters (Nigeria)","",6,"","",0,60,"Nigeria","Bayelsa","Southern Ijaw","","Bayelsa State",4.75,6.08333,1,"Agence France Presse","Protesters blocked facilities belonging to oil giant Shell, demanding improvements to communities in the area, including new roads and stable electricity supply.",0,7,14,"A-227"
475,"3098NIG",48986,2011-07-15,2011,1,"Remote violence","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","A Boko Haram blast wounds eight police officers. ",0,7,15,"A-228"
475,"3099NIG",48987,2011-07-20,2011,1,"Riots","Rioters (Nigeria)","Muslim Group (Nigeria)",5,"Christian Militia (Nigeria)","",4,45,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","A group of Muslim youths protest the killing of a local carpenter, blaming a gang of Christian youths. Arguments and clashes occur among them, causing five deaths. The city of Jos is heavily divided along religious lines. ",5,7,20,"A-229"
475,"3100NIG",48988,2011-07-23,2011,1,"Remote violence","Military Forces of Nigeria (2007-2010)","Police Forces of Nigeria (2010-)",1,"Civilians (Nigeria)","",7,17,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","A bomb blast blamed on Boko Haram injures three soldiers. Security forces respond by allegedly firing indiscriminately at people in a market, killing 23, according to Amnesty International. ",23,7,23,"A-230"
475,"3103NIG",48991,2011-07-26,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"Africa Research Bulletin","Boko Haram detonates an explosive at the gate of the UN regional headquarters. 21 killed, 73 injured. It is unclear if the casualties were UN personnel or civilian. ",21,7,26,"A-231"
475,"3101NIG",48989,2011-07-26,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"BBC Monitoring Africa","Police forces shoot and kill a suspected member of Boko Haram.",1,7,26,"A-232"
475,"3102NIG",48990,2011-07-26,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"BBC Monitoring Africa","Seven people were arrested by police under suspicion of possessing explosives. ",0,7,26,"A-233"
475,"3104NIG",48992,2011-07-30,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Akwa Ibom","Uyo","","Akwa Ibom State",5,7.83333,2,"Xinhua News Agency","Unknown gunmen have abducted Chairman of Ibiono Ibom Local Government Area in southeast Akwa Ibom State, Godwin Ekpo. The gunmen demand N300 for his release. ",0,7,30,"A-234"
475,"3105NIG",48993,2011-08-01,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"Africa Research Bulletin","Boko Harm detonates an explosive in Plateau State, no report of causalities. ",0,8,1,"A-235"
475,"3106NIG",48994,2011-08-02,2011,1,"Remote violence","Boko Haram","",3,"Military Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected Islamists detonated a bomb and exchanged fire with troops, no report of death or injury. ",0,8,2,"A-236"
475,"3107NIG",48995,2011-08-04,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","An explosive is detonated near a police station killing two. The explosion was followed by gunfire. ",2,8,4,"A-237"
475,"3108NIG",48996,2011-08-06,2011,1,"Violence against civilians","Military Forces of Nigeria (2007-2010)","",1,"Civilians (Nigeria)","",7,17,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Residents accuse soldiers of shooting a seven year old girl in an effort to disperse a crowd scrambling for free grains. ",1,8,6,"A-238"
475,"3109NIG",48997,2011-08-07,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,1,"BBC Monitoring Africa","A bomb blast injures five police officers.",0,8,7,"A-239"
475,"3110NIG",48998,2011-08-09,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Plateau","Barkin Ladi","","Bisichi",9.70961,8.91028,1,"Agence France Presse","Attackers with machetes hacked at least two people to death and seriously wounded four others in a village near the deeply divided Nigerian city of Jos.",2,8,9,"A-240"
475,"3111NIG",48999,2011-08-10,2011,1,"Riots","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Borno","Biu","","Biu",10.61285,12.19458,1,"Agence France Presse","Police open fire on protesters gather to denounce the arrest of several teachers of an Islamic school believed to be involved in Boko Haram. A woman was shot leading the protesters to riot, setting buildings alight. ",1,8,10,"A-241"
475,"3112NIG",49000,2011-08-12,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"Cape Times","The father of a Chelsea midfielder John Obi Mikel was abducted by unknown men. ",0,8,12,"A-242"
475,"3113NIG",49001,2011-08-13,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Konduga","","Borno",11.5,13,2,"Africa Research Bulletin","An Islamic clearic is shot dead in the east. ",1,8,13,"A-243"
475,"3114NIG",49002,2011-08-14,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Plateau","Langtang North","","Plateau",9.16667,9.75,2,"Africa Research Bulletin","Attacks reported in Plateau State by Boko Haram. ",0,8,14,"A-244"
475,"3118NIG",49006,2011-08-15,2011,1,"Protests","Protesters (Nigeria)","",6,"","",0,60,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Ten people were killed in two separate midnight attacks outside the city of Jos, leading angry residents to block roads the following morning. ",0,8,15,"A-245"
475,"3116NIG",49004,2011-08-15,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Plateau","Barkin Ladi","","Foron",9.7,8.95,1,"Agence France Presse","Ten people were killed in two separate midnight attacks outside the city of Jos, leading angry residents to block roads the following morning. ",3,8,15,"A-246"
475,"3117NIG",49005,2011-08-15,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Plateau","Barkin Ladi","","Heipang",9.63333,8.88333,1,"Agence France Presse","Ten people were killed in two separate midnight attacks outside the city of Jos, leading angry residents to block roads the following morning. ",7,8,15,"A-247"
475,"3115NIG",49003,2011-08-15,2011,1,"Battle-No change of territory","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Police shoot and kill a would be suicide bomber who was seeking to drive a explosives-laden car into state police headquarters.",1,8,15,"A-248"
475,"3121NIG",49009,2011-08-16,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Kebbi","Gwandu","","Tambawel",12.40386,4.64693,1,"Agence France Presse","Four policemen and two civilians were killed during a battle between security agents and gunmen who attacked a police station. The assailants are believed to be of Boko Haram. ",2,8,16,"A-249"
475,"3119NIG",49007,2011-08-16,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Africa Research Bulletin","Nigerian police shot and killed a man, believed to be of Boko Haram, who tried to drive a car laden with explosives into the main law enforcement compound.",1,8,16,"A-250"
475,"3120NIG",49008,2011-08-16,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Kebbi","Gwandu","","Tambawel",12.40386,4.64693,1,"Agence France Presse","Four policemen and two civilians were killed during a battle between security agents and gunmen who attacked a police station. The assailants are believed to be of Boko Haram. ",4,8,16,"A-251"
475,"3123NIG",49011,2011-08-19,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Africa Research Bulletin","Suspected Boko Haram militants broke into the home of a police officer, killing three officers and one civilian. ",1,8,19,"A-252"
475,"3122NIG",49010,2011-08-19,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Suspected Boko Haram militants broke into the home of a police officer, killing three officers and one civilian. ",3,8,19,"A-253"
475,"3124NIG",49012,2011-08-21,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Plateau","Jos South","","Zonkwa",9.78333,8.78333,1,"Agence France Presse","Two people were killed and three injured following an attack by unknown gunmen in a Christian dominated town. ",2,8,21,"A-254"
475,"3125NIG",49013,2011-08-25,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","Military Forces of Nigeria (2007-2010)",1,13,"Nigeria","Adamawa","Girie","","Gombi",10.1622,12.74,1,"Africa Research Bulletin","Boko Haram gunmen stormed a police station and attacked two banks. Nine police and one soldier killed. Three gunmen also killed in the clash. Some conflicting reports have the number as hig as 32 killed. ",13,8,25,"A-255"
475,"3126NIG",49014,2011-08-25,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Adamawa","Girie","","Gombi",10.1622,12.74,1,"Africa Research Bulletin","Boko Haram gunmen stormed a police station and attacked two banks. Eight civilians killed. Some conflicting reports have the number as hig as 32 killed. ",8,8,25,"A-256"
475,"3127NIG",49015,2011-08-26,2011,1,"Remote violence","Boko Haram","",3,"UN: United Nations","Civilians (Nigeria)",8,38,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"Africa Research Bulletin","A bomb explodes at a UN building causing heavy damage, at least 23 deaths, including 9 UN staff, and many injuries. Boko Haram claimed responsibility following the event.",23,8,26,"A-257"
475,"3128NIG",49016,2011-08-27,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Kaduna","Kaduna South","","Kaduna",10.52224,7.43828,1,"Africa Research Bulletin","Gunmen shoot and kill an Islamic cleric in Kaduna State. ",1,8,27,"A-258"
475,"3129NIG",49017,2011-08-28,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Africa Research Bulletin","Gunmen shoot and kill a local government chairman. ",1,8,28,"A-259"
475,"3130NIG",49018,2011-08-29,2011,1,"Remote violence","Boko Haram","Unidentified Armed Group (Nigeria)",3,"Civilians (Nigeria)","",7,37,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,1,"Agence France Presse","A bomb was thrown onto the property of Nigeria's ex-police minister, but it exploded without wounding anyone.",0,8,29,"A-260"
